1,2,3
+0.01402     lbs,+0.01401     lbs,+0.01395     lbs
****************,****************,****************
+0.01398     lbs,+0.01400     lbs,+0.01395     lbs
****************,****************,****************
+0.01398     lbs,+0.01400     lbs,+0.01395     lbs
****************,****************,****************
+0.01398     lbs,+0.01397     lbs,+0.01398     lbs
****************,****************,****************
+0.01398     lbs,+0.01397     lbs,+0.01398     lbs
****************,****************,****************
+0.01401     lbs,+0.01395     lbs,+0.01394     lbs
****************,****************,****************
+0.01401     lbs,+0.01395     lbs,+0.01394     lbs
****************,****************,****************
+0.01401     lbs,+0.01400     lbs,+0.01393     lbs
****************,****************,****************
+0.01401     lbs,+0.01400     lbs,+0.01393     lbs
****************,****************,****************
+0.01401     lbs,+0.01396     lbs,+0.01390     lbs
****************,****************,****************
+0.01401     lbs,+0.01396     lbs,+0.01390     lbs
****************,****************,****************
+0.01399     lbs,+0.01396     lbs,+0.01393     lbs
****************,****************,****************
+0.01399     lbs,+0.01396     lbs,+0.01393     lbs
****************,****************,****************
+0.01402     lbs,+0.01396     lbs,+0.01396     lbs
****************,****************,****************
+0.01402     lbs,+0.01396     lbs,+0.01396     lbs
****************,****************,****************
+0.01403     lbs,+0.01396     lbs,+0.01393     lbs
****************,****************,****************
+0.01403     lbs,+0.01396     lbs,+0.01393     lbs
****************,****************,****************
+0.01400     lbs,+0.01396     lbs,+0.01392     lbs
****************,****************,****************
+0.01400     lbs,+0.01396     lbs,+0.01392     lbs
****************,****************,****************
+0.01395     lbs,+0.01396     lbs,+0.01397     lbs
****************,****************,****************
+0.01395     lbs,+0.01396     lbs,+0.01397     lbs
****************,****************,****************
+0.01398     lbs,+0.01393     lbs,+0.01395     lbs
****************,****************,****************
+0.01398     lbs,+0.01393     lbs,+0.01395     lbs
****************,****************,****************
+0.01400     lbs,+0.01393     lbs,+0.01388     lbs
****************,****************,****************
+0.01400     lbs,+0.01393     lbs,+0.01388     lbs
****************,****************,****************
+0.01399     lbs,+0.01395     lbs,+0.01392     lbs
****************,****************,****************
+0.01399     lbs,+0.01395     lbs,+0.01392     lbs
****************,****************,****************
+0.01397     lbs,+0.01393     lbs,+0.01398     lbs
****************,****************,****************
+0.01397     lbs,+0.01393     lbs,+0.01398     lbs
****************,****************,****************
+0.01400     lbs,+0.01397     lbs,+0.01393     lbs
****************,****************,****************
+0.01400     lbs,+0.01397     lbs,+0.01393     lbs
****************,****************,****************
+0.01401     lbs,+0.01394     lbs,+0.01389     lbs
****************,****************,****************
+0.01401     lbs,+0.01394     lbs,+0.01389     lbs
****************,****************,****************
+0.01401     lbs,+0.01395     lbs,+0.01390     lbs
****************,****************,****************
+0.01401     lbs,+0.01395     lbs,+0.01390     lbs
****************,****************,****************
