1,2,3,4,5,6
+0.01260     lbs,+0.01258     lbs,+0.01252     lbs,+0.01253     lbs,+0.01247     lbs,+0.01246     lbs
****************,****************,****************,****************,****************,****************
+0.01260     lbs,+0.01258     lbs,+0.01252     lbs,+0.01253     lbs,+0.01247     lbs,+0.01246     lbs
****************,****************,****************,****************,****************,****************
+0.01260     lbs,+0.01259     lbs,+0.01258     lbs,+0.01252     lbs,+0.01250     lbs,+0.01248     lbs
****************,****************,****************,****************,****************,****************
+0.01260     lbs,+0.01259     lbs,+0.01258     lbs,+0.01252     lbs,+0.01250     lbs,+0.01248     lbs
****************,****************,****************,****************,****************,****************
+0.01262     lbs,+0.01261     lbs,+0.01257     lbs,+0.01255     lbs,+0.01251     lbs,+0.01244     lbs
****************,****************,****************,****************,****************,****************
+0.01262     lbs,+0.01261     lbs,+0.01257     lbs,+0.01255     lbs,+0.01251     lbs,+0.01244     lbs
****************,****************,****************,****************,****************,****************
+0.01262     lbs,+0.01258     lbs,+0.01259     lbs,+0.01255     lbs,+0.01248     lbs,+0.01241     lbs
****************,****************,****************,****************,****************,****************
+0.01262     lbs,+0.01258     lbs,+0.01259     lbs,+0.01255     lbs,+0.01248     lbs,+0.01241     lbs
****************,****************,****************,****************,****************,****************
+0.01261     lbs,+0.01256     lbs,+0.01257     lbs,+0.01254     lbs,+0.01246     lbs,+0.01243     lbs
****************,****************,****************,****************,****************,****************
+0.01261     lbs,+0.01256     lbs,+0.01257     lbs,+0.01254     lbs,+0.01246     lbs,+0.01243     lbs
****************,****************,****************,****************,****************,****************
+0.01261     lbs,+0.01258     lbs,+0.01253     lbs,+0.01252     lbs,+0.01246     lbs,+0.01247     lbs
****************,****************,****************,****************,****************,****************
+0.01261     lbs,+0.01258     lbs,+0.01253     lbs,+0.01252     lbs,+0.01246     lbs,+0.01247     lbs
****************,****************,****************,****************,****************,****************
+0.01264     lbs,+0.01259     lbs,+0.01254     lbs,+0.01252     lbs,+0.01246     lbs,+0.01248     lbs
****************,****************,****************,****************,****************,****************
+0.01264     lbs,+0.01259     lbs,+0.01254     lbs,+0.01252     lbs,+0.01246     lbs,+0.01248     lbs
****************,****************,****************,****************,****************,****************
+0.01265     lbs,+0.01256     lbs,+0.01250     lbs,+0.01248     lbs,+0.01246     lbs,+0.01246     lbs
****************,****************,****************,****************,****************,****************
+0.01265     lbs,+0.01256     lbs,+0.01250     lbs,+0.01248     lbs,+0.01246     lbs,+0.01246     lbs
****************,****************,****************,****************,****************,****************
+0.01267     lbs,+0.01254     lbs,+0.01254     lbs,+0.01251     lbs,+0.01243     lbs,+0.01241     lbs
****************,****************,****************,****************,****************,****************
+0.01267     lbs,+0.01254     lbs,+0.01254     lbs,+0.01251     lbs,+0.01243     lbs,+0.01241     lbs
****************,****************,****************,****************,****************,****************
+0.01264     lbs,+0.01254     lbs,+0.01256     lbs,+0.01252     lbs,+0.01244     lbs,+0.01239     lbs
****************,****************,****************,****************,****************,****************
+0.01264     lbs,+0.01254     lbs,+0.01256     lbs,+0.01252     lbs,+0.01244     lbs,+0.01239     lbs
****************,****************,****************,****************,****************,****************
+0.01263     lbs,+0.01252     lbs,+0.01253     lbs,+0.01248     lbs,+0.01246     lbs,+0.01243     lbs
****************,****************,****************,****************,****************,****************
+0.01263     lbs,+0.01252     lbs,+0.01253     lbs,+0.01248     lbs,+0.01246     lbs,+0.01243     lbs
****************,****************,****************,****************,****************,****************
+0.01259     lbs,+0.01252     lbs,+0.01254     lbs,+0.01246     lbs,+0.01248     lbs,+0.01241     lbs
****************,****************,****************,****************,****************,****************
+0.01259     lbs,+0.01252     lbs,+0.01254     lbs,+0.01246     lbs,+0.01248     lbs,+0.01241     lbs
****************,****************,****************,****************,****************,****************
+0.01258     lbs,+0.01258     lbs,+0.01254     lbs,+0.01249     lbs,+0.01247     lbs,+0.01236     lbs
****************,****************,****************,****************,****************,****************
+0.01258     lbs,+0.01258     lbs,+0.01254     lbs,+0.01249     lbs,+0.01247     lbs,+0.01236     lbs
****************,****************,****************,****************,****************,****************
+0.01255     lbs,+0.01257     lbs,+0.01250     lbs,+0.01251     lbs,+0.01248     lbs,+0.01239     lbs
****************,****************,****************,****************,****************,****************
+0.01255     lbs,+0.01257     lbs,+0.01250     lbs,+0.01251     lbs,+0.01248     lbs,+0.01239     lbs
****************,****************,****************,****************,****************,****************
+0.01257     lbs,+0.01253     lbs,+0.01250     lbs,+0.01251     lbs,+0.01243     lbs,+0.01240     lbs
****************,****************,****************,****************,****************,****************
+0.01257     lbs,+0.01253     lbs,+0.01250     lbs,+0.01251     lbs,+0.01243     lbs,+0.01240     lbs
****************,****************,****************,****************,****************,****************
+0.01256     lbs,+0.01254     lbs,+0.01251     lbs,+0.01249     lbs,+0.01243     lbs,+0.01240     lbs
****************,****************,****************,****************,****************,****************
+0.01256     lbs,+0.01254     lbs,+0.01251     lbs,+0.01249     lbs,+0.01243     lbs,+0.01240     lbs
****************,****************,****************,****************,****************,****************
+0.01257     lbs,+0.01257     lbs,+0.01249     lbs,+0.01248     lbs,+0.01250     lbs,+0.01243     lbs
****************,****************,****************,****************,****************,****************
+0.01257     lbs,+0.01257     lbs,+0.01249     lbs,+0.01248     lbs,+0.01250     lbs,+0.01243     lbs
****************,****************,****************,****************,****************,****************
+0.01261     lbs,+0.01252     lbs,+0.01253     lbs,+0.01247     lbs,+0.01249     lbs,+0.01246     lbs
****************,****************,****************,****************,****************,****************
